; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496838955,"CurrentTimeLocal","Wed Jun  7 14:35:55 2017","Hostname","c01n02"
; "Time_ContextCreate [ms]", 0.000143
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000555,0.042023,0.038847,0.003806,0.119249,0.117772,0.003053,0.005732,0.331395,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000476,0.041803,0.038914,0.003851,0.119204,0.117185,0.003056,0.006039,0.330867,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000486,0.041209,0.038229,0.003791,0.118852,0.118398,0.00307,0.005372,0.329755,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.00049,0.04059,0.038134,0.003816,0.123809,0.118509,0.003206,0.005492,0.33442,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000494,0.041019,0.038321,0.003761,0.119189,0.117626,0.003109,0.005593,0.329476,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000515,0.040957,0.038088,0.003831,0.119174,0.118511,0.003033,0.005727,0.33019,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000442,0.046004,0.03821,0.003799,0.119245,0.117417,0.003009,0.005882,0.334353,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.00051,0.040802,0.038151,0.003802,0.119188,0.117427,0.00299,0.00557,0.328795,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000533,0.071643,0.061232,0.106544,0.562321,0.497299,0.150956,0.004875,1.455882,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000625,0.06748,0.060498,0.146695,0.508332,0.462052,0.151241,0.004362,1.401715,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000552,0.068086,0.05959,0.135947,0.494955,0.464275,0.15121,0.004099,1.379108,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.0006,0.063294,0.059825,0.130559,0.495972,0.460303,0.153605,0.00411,1.368665,1042568,0,1042568
