; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496840385,"CurrentTimeLocal","Wed Jun  7 14:59:45 2017","Hostname","c01n12"
; "Time_ContextCreate [ms]", 0.000156
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.00047,0.041634,0.039395,0.004505,0.122446,0.126466,0.003302,0.006035,0.344617,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.00044,0.041616,0.039051,0.004509,0.122324,0.121452,0.003221,0.005832,0.338787,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000412,0.040754,0.038615,0.00446,0.120963,0.12081,0.003187,0.006362,0.335926,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000431,0.040826,0.038685,0.004442,0.122136,0.121511,0.003218,0.006244,0.337849,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000416,0.04038,0.038545,0.004471,0.122493,0.122326,0.0032,0.006379,0.338547,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000431,0.040941,0.038516,0.00445,0.126316,0.120935,0.003137,0.007013,0.342064,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000398,0.041049,0.038328,0.00442,0.121746,0.12111,0.003173,0.005905,0.336454,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000449,0.040573,0.038881,0.004452,0.122428,0.122831,0.003153,0.009357,0.342449,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000456,0.041887,0.038845,0.004445,0.1224,0.121919,0.00322,0.005284,0.338786,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000465,0.071462,0.060535,0.10197,0.563008,0.498518,0.146866,0.004514,1.447792,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000489,0.067462,0.060657,0.126071,0.472147,0.45965,0.145375,0.004175,1.33645,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000447,0.064285,0.059083,0.137974,0.485553,0.461293,0.146146,0.004213,1.359392,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000484,0.064273,0.059431,0.12549,0.506964,0.456197,0.146968,0.004158,1.364331,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000373,0.063217,0.059419,0.126091,0.488816,0.459513,0.147643,0.003929,1.349389,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000423,0.061938,0.058889,0.129938,0.491031,0.46033,0.144967,0.004299,1.352201,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000448,0.063041,0.059253,0.124497,0.488684,0.457059,0.146776,0.004307,1.344448,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000447,0.062382,0.059195,0.127586,0.47861,0.460099,0.146752,0.004343,1.339807,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.00047,0.061416,0.059286,0.127302,0.46856,0.457901,0.147835,0.004318,1.32746,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000458,0.062257,0.058692,0.125329,0.491999,0.459,0.149636,0.003985,1.351716,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000438,0.061608,0.058574,0.132607,0.490109,0.461613,0.145498,0.004006,1.354832,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000458,0.061232,0.058936,0.133343,0.485719,0.458024,0.153443,0.003948,1.355496,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.004507,0.783453,0.752726,10.640252,10.912096,10.966828,2.082056,5.919844,42.062893,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.005677,0.778548,0.752695,10.83922,10.665551,10.813824,2.105249,5.98809,41.949827,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.005096,0.771763,0.746471,10.855667,10.787315,10.784353,2.102938,5.978154,42.032763,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.005685,0.777594,0.744288,10.856731,11.044158,10.920535,2.103756,6.015386,42.46906,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.00533,0.777389,0.749373,10.854633,10.812629,10.773276,2.108291,6.008479,42.090427,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.005831,0.769671,0.751507,10.874941,10.925419,10.799477,2.06578,5.973134,42.166672,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.004503,0.779135,0.754269,10.856008,10.81532,10.77514,2.09581,5.961934,42.043216,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.005355,0.77337,0.745197,10.846742,10.90725,10.932813,2.09341,5.993554,42.298563,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.005236,0.778188,0.744703,10.851651,10.88211,11.087707,2.09182,5.986925,42.429121,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.005002,0.77674,0.751364,10.832849,10.919819,10.857057,2.106822,5.984007,42.234404,19808792,0,19808792
