; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67309764608,"PlanFlags","FFTW_WISDOM_ONLY","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000384
; "Time_ContextDestroy [ms]", 0.000125
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,64
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.002627,0,0,0,0,0,0,0,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,58
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.003999,0,0,0,0,0,0,0,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.005133,0,0,0,0,0,0,0,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,66
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.00359,0,0,0,0,0,0,0,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,67
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,"Success",0.001212,0.000408,0.054305,0.00015,0.000407,0.000193,9.7e-05,0.000859,0.057245,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,"Success",0.001119,0.000284,0.053649,0.000147,0.000362,0.000173,9e-05,0.00085,0.056351,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,"Success",0.0011,0.00027,0.05309,0.000144,0.000354,0.000158,9.1e-05,0.00077,0.055722,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,"Success",0.001125,0.000269,0.053004,0.000127,0.00039,0.000175,8.7e-05,0.000814,0.055665,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,"Success",0.001121,0.000291,0.053333,0.000134,0.000359,0.000165,0.000102,0.000822,0.056013,64,0,64,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000666,0,0,0,0,0,0,0,128,0,128,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,1
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000582,0,0,0,0,0,0,0,256,0,256,2
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,2
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,2
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,2
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,2
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,0,"Success",0.001444,0.000487,0.052491,0.000171,0.000455,0.000312,0.000124,0.000711,0.055552,512,0,512,3
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,1,"Success",0.001426,0.00052,0.052274,0.000162,0.000487,0.000299,0.000106,0.000737,0.055382,512,0,512,3
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,2,"Success",0.00135,0.00048,0.05217,0.000145,0.00044,0.000291,0.000115,0.000669,0.055075,512,0,512,3
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,3,"Success",0.001425,0.000534,0.052051,0.000173,0.00045,0.00033,0.000119,0.000657,0.055058,512,0,512,3
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,4,4,"Success",0.001367,0.000498,0.051594,0.00017,0.000414,0.000309,0.000119,0.000666,0.054549,512,0,512,3
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000685,0,0,0,0,0,0,0,1024,0,1024,4
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,4
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,4
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,4
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,4
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000702,0,0,0,0,0,0,0,2048,0,2048,5
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,5
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,5
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,5
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,5
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,0,"Success",0.004782,0.000676,0.059867,0.00045,0.001945,0.001698,0.000266,0.000869,0.066755,4096,0,4096,6
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,1,"Success",0.004419,0.000577,0.055719,0.000382,0.001803,0.001607,0.000233,0.00073,0.0619,4096,0,4096,6
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,2,"Success",0.004375,0.00049,0.055426,0.000403,0.001765,0.001596,0.000238,0.00073,0.061486,4096,0,4096,6
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,3,"Success",0.004416,0.000505,0.055802,0.000407,0.001799,0.0016,0.000234,0.000746,0.061899,4096,0,4096,6
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,4,"Success",0.004382,0.000459,0.055366,0.000401,0.00177,0.001596,0.000238,0.000736,0.061393,4096,0,4096,6
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,16,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000601,0,0,0,0,0,0,0,8192,0,8192,7
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,16,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,7
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,16,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,7
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,16,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,7
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,16,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,7
"Fftw","Inplace","Complex","float",3,"powerof2",8,16,16,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000729,0,0,0,0,0,0,0,16384,0,16384,8
"Fftw","Inplace","Complex","float",3,"powerof2",8,16,16,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,8
"Fftw","Inplace","Complex","float",3,"powerof2",8,16,16,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,8
"Fftw","Inplace","Complex","float",3,"powerof2",8,16,16,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,8
"Fftw","Inplace","Complex","float",3,"powerof2",8,16,16,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,8
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,16,0,"Success",0.032107,0.000419,0.057216,0.00264,0.013969,0.013208,0.001849,0.001663,0.091844,32768,0,32768,9
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,16,1,"Success",0.031843,0.000434,0.056954,0.002618,0.013699,0.013215,0.001849,0.001632,0.091303,32768,0,32768,9
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,16,2,"Success",0.032111,0.000545,0.056789,0.002599,0.013973,0.013254,0.001851,0.001589,0.091458,32768,0,32768,9
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,16,3,"Success",0.031849,0.000477,0.056656,0.002621,0.013754,0.013197,0.001843,0.001671,0.0911,32768,0,32768,9
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,16,4,"Success",0.031886,0.000529,0.056746,0.002588,0.01373,0.013268,0.001861,0.001569,0.091156,32768,0,32768,9
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,32,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.000588,0,0,0,0,0,0,0,65536,0,65536,10
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,32,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,10
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,32,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,10
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,32,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,10
"Fftw","Inplace","Complex","float",3,"powerof2",16,16,32,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,10
"Fftw","Inplace","Complex","float",3,"powerof2",16,32,32,0,"fftw forward plan could not be created as wisdom is not available for this problem.",0,0.003248,0,0,0,0,0,0,0,131072,0,131072,11
"Fftw","Inplace","Complex","float",3,"powerof2",16,32,32,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,11
"Fftw","Inplace","Complex","float",3,"powerof2",16,32,32,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,11
"Fftw","Inplace","Complex","float",3,"powerof2",16,32,32,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,11
"Fftw","Inplace","Complex","float",3,"powerof2",16,32,32,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,11
"Fftw","Inplace","Complex","float",3,"powerof2",32,32,32,0,"Success",0.275591,0.000688,1.31557,0.04253,0.116701,0.079021,0.036445,0.087532,1.68005,262144,0,262144,12
