; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_MEASURE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000391
; "Time_ContextDestroy [ms]", 0.000317
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,"Success",0.058518,0.000404,64.6919,0.00032,0.026399,0.028357,0.001443,0.010697,64.7622,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,"Success",0.054687,0.000398,64.1103,0.000352,0.027188,0.024689,0.00069,0.011144,64.1773,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,"Success",0.055597,0.000385,64.4608,0.000341,0.028916,0.024406,0.000685,0.011659,64.5289,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,"Success",0.054793,0.00039,64.8926,0.000333,0.027479,0.025195,0.000598,0.013809,64.9622,2888,0,2888,68
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,"Success",0.127312,0.000494,387.067,0.008066,0.054861,0.056505,0.007149,0.078114,387.274,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,"Success",0.127666,0.000389,386.411,0.008407,0.052504,0.057233,0.008803,0.074201,386.614,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,"Success",0.124651,0.000371,387.5,0.008873,0.054714,0.052735,0.007605,0.075334,387.701,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,3,"Success",0.126491,0.00051,386.668,0.0108,0.054002,0.053285,0.007082,0.077597,386.873,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,4,"Success",0.120614,0.000371,388.599,0.008181,0.051056,0.052674,0.007306,0.074295,388.795,54872,0,54872,69
"Fftw","Inplace","Complex","float",2,"oddshape",361,361,0,0,"Success",1.17909,0.000449,1857.86,0.086896,0.539002,0.414335,0.137258,0.147637,1859.19,1.04257e+06,0,1.04257e+06,70
