; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_MEASURE","FftwTimeLimit [s]",600
; "Time_ContextCreate [ms]", 0.000351
; "Time_ContextDestroy [ms]", 0.000317
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,1,"Success",0.064821,0.000361,221.232,0.002304,0.033733,0.026019,0.002168,0.063627,221.361,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,2,"Success",0.061334,0.000357,220.037,0.002216,0.031922,0.024209,0.00224,0.064764,220.164,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,3,"Success",0.063568,0.000438,220.626,0.002232,0.031715,0.026515,0.002503,0.062166,220.753,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,4,"Success",0.061735,0.000352,221.384,0.002504,0.032715,0.023408,0.002503,0.065847,221.512,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,0,"Success",0.057699,0.0003,152.101,0.003684,0.026845,0.023048,0.003369,0.03869,152.198,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,1,"Success",0.060633,0.000358,150.226,0.003724,0.026953,0.025629,0.003487,0.040884,150.328,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,2,"Success",0.0615,0.000364,150.896,0.00406,0.027039,0.02609,0.003633,0.036188,150.995,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,3,"Success",0.061174,0.000365,150.153,0.003687,0.026662,0.027146,0.003047,0.03811,150.253,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,4,"Success",0.060419,0.0003,152.69,0.003441,0.027013,0.026163,0.003091,0.036122,152.788,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,"Success",0.107962,0.000442,148.328,0.007988,0.047617,0.044473,0.007144,0.055284,148.492,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,"Success",0.108535,0.000487,148.403,0.007947,0.051532,0.041102,0.007213,0.050389,148.563,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,"Success",0.106155,0.000422,148.123,0.007472,0.047382,0.043632,0.007017,0.052048,148.282,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,"Success",0.104028,0.000372,148.43,0.008364,0.047144,0.041113,0.006735,0.053447,148.588,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,"Success",0.109831,0.000508,147.945,0.008429,0.04823,0.044818,0.007565,0.053658,148.11,54872,0,54872,64
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,0,"Success",0.160237,0.000415,306.249,0.028625,0.063167,0.051421,0.016321,0.095542,306.506,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,1,"Success",0.164237,0.000536,300.6,0.027667,0.066417,0.05225,0.017049,0.09845,300.864,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,2,"Success",0.163153,0.000468,303.779,0.028884,0.064804,0.052276,0.016361,0.089605,304.033,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,3,"Success",0.161108,0.000451,303.64,0.026633,0.065291,0.051263,0.017316,0.096024,303.898,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",7,49,49,4,"Success",0.162441,0.000441,305.427,0.029437,0.064418,0.050945,0.016783,0.095578,305.686,134456,0,134456,58
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,"Success",0.881393,0.000506,843.37,0.153365,0.297451,0.284164,0.145266,0.114706,844.367,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,"Success",0.898313,0.00048,839.09,0.151543,0.321969,0.285804,0.137984,0.104021,840.094,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,"Success",0.863381,0.000468,830.021,0.152964,0.292127,0.278497,0.138414,0.081906,830.967,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,"Success",0.882636,0.000385,844.569,0.156286,0.302485,0.284179,0.138651,0.096874,845.549,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,"Success",0.866992,0.00048,829.586,0.153073,0.301194,0.273253,0.138654,0.103092,830.557,1.04257e+06,0,1.04257e+06,65
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,"Success",24.245,0.000975,13856.2,2.34732,9.02312,10.6532,2.22048,0.236467,13880.7,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,"Success",21.8527,0.001046,13613.6,2.26523,9.82438,7.63092,2.13105,0.261491,13635.7,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,"Success",23.8155,0.001108,13757.6,2.37053,8.58589,10.6786,2.17968,0.284036,13781.7,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,"Success",23.9607,0.001023,13690.7,2.33252,9.13572,10.2867,2.2047,0.251776,13714.9,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,"Success",23.8665,0.001163,13456.2,2.32278,10.7498,8.54201,2.25121,0.278765,13480.4,1.98088e+07,0,1.98088e+07,66
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,"Success",436.78,0.003449,67989.5,38.9216,177.41,180.314,40.132,18.2123,68444.5,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,"Success",436.906,0.003401,67507.3,38.7405,177.818,180.016,40.3283,18.1915,67962.4,3.76367e+08,0,3.76367e+08,67
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,"Success",505.577,0.003346,70718.2,71.4042,179.192,182.723,72.2549,23.5579,71247.4,3.76367e+08,0,3.76367e+08,67
