; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312713728,"PlanFlags","FFTW_ESTIMATE","FftwTimeLimit [s]","None"
; "Time_ContextCreate [ms]", 0.000361
; "Time_ContextDestroy [ms]", 0.000331
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,1,"Success",0.121372,0.000325,3.26107,0.001671,0.077283,0.039374,0.002223,0.078111,3.46145,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,2,"Success",0.105726,0.000351,3.25963,0.001597,0.065422,0.034743,0.003114,0.080073,3.44646,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,3,"Success",0.112206,0.000357,3.10404,0.001495,0.076555,0.030907,0.002483,0.075839,3.293,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",7,7,49,4,"Success",0.133922,0.000359,3.05499,0.001482,0.095008,0.034218,0.002332,0.076433,3.26621,19208,0,19208,57
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,0,"Success",0.059101,0.000314,0.98595,0.002185,0.028416,0.024987,0.00292,0.041004,1.08691,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,1,"Success",0.061125,0.000286,0.985418,0.002095,0.028763,0.02625,0.003267,0.040371,1.0879,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,2,"Success",0.062072,0.000263,0.986555,0.002128,0.029884,0.025796,0.003509,0.042964,1.09249,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,3,"Success",0.055869,0.000309,0.985874,0.002153,0.025829,0.024259,0.002894,0.03959,1.08216,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",5,25,25,4,"Success",0.057096,0.000292,0.984578,0.002118,0.02725,0.02428,0.002725,0.040662,1.08323,25000,0,25000,47
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,"Success",0.195863,0.000416,12.6068,0.008077,0.120268,0.061185,0.005531,0.054006,12.8576,54872,0,54872,64
