; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496380152,"CurrentTimeLocal","Fri Jun  2 07:09:12 2017","Hostname","r02n11"
; "Time_ContextCreate [ms]", 0.000336
; "Time_ContextDestroy [ms]", 0.000162
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000292,33.537079,33.448027,0.000405,0.031862,0.030183,0.001054,0.013825,67.063516,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000254,33.628891,33.537225,0.000426,0.033866,0.032248,0.000606,0.012851,67.247247,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.00022,33.599,33.720927,0.000303,0.032909,0.036059,0.000607,0.011796,67.403079,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000372,35.136922,59.057929,0.00036,0.032373,0.032359,0.000727,0.012124,94.274183,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000272,39.205517,35.401125,0.000368,0.034347,0.032014,0.000639,0.013268,74.688658,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000261,35.533467,34.283115,0.00037,0.032464,0.032245,0.000848,0.014212,69.897666,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000268,50.02151,33.793911,0.000335,0.031684,0.032044,0.000519,0.017585,83.898714,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000324,33.631471,33.789991,0.000378,0.034954,0.031676,0.000692,0.01297,67.503421,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000273,33.711074,33.74331,0.000374,0.031117,0.030457,0.000673,0.01354,67.531604,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.00027,33.637279,38.173582,0.000389,0.031652,0.031695,0.000863,0.012364,71.888734,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000251,33.61688,33.81078,0.00037,0.032131,0.030451,0.000655,0.013282,67.505746,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000238,33.747889,33.820541,0.000339,0.032654,0.033801,0.001195,0.013243,67.650525,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000369,225.407371,226.309589,0.015884,0.088424,0.080427,0.01011,0.106329,452.019265,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000435,224.013231,227.851235,0.011141,0.090747,0.079942,0.009684,0.107204,452.16448,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000383,225.231897,232.331705,0.011402,0.091019,0.082555,0.010195,0.116675,457.876615,54872,0,54872
