; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496224455,"CurrentTimeLocal","Wed May 31 11:54:15 2017","Hostname","r02n08"
; "Time_ContextCreate [ms]", 0.000354
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000129,0.177668,0.158821,0.000289,0.0009,0.000191,6.9e-05,0.000518,0.33892,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",7.2e-05,0.164772,0.172882,0.000163,0.00028,0.000178,4.8e-05,0.000443,0.339178,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",9.4e-05,0.163871,0.155599,0.000146,0.000275,0.000165,4.4e-05,0.000425,0.320918,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",6.4e-05,0.168465,0.156036,9.2e-05,0.000302,0.000181,5.4e-05,0.000458,0.32598,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000107,0.162825,0.155491,7.1e-05,0.000273,0.000168,5.8e-05,0.000432,0.319731,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",7.2e-05,0.167231,0.155077,0.000104,0.000287,0.000165,4e-05,0.000445,0.32374,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000109,0.162133,0.155064,7.4e-05,0.000297,0.00017,4e-05,0.000433,0.318619,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",9.2e-05,0.167039,0.155394,9.4e-05,0.000274,0.000179,5e-05,0.000464,0.323857,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",7.3e-05,0.16229,0.154711,6.4e-05,0.000259,0.000175,3.9e-05,0.000454,0.318351,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",8.5e-05,0.162279,0.154977,7.1e-05,0.000269,0.000169,3.6e-05,0.000422,0.318587,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",8.1e-05,0.161916,0.154875,7.3e-05,0.000269,0.000179,3.9e-05,0.000448,0.318166,152,0,152
