; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496236029,"CurrentTimeLocal","Wed May 31 15:07:09 2017","Hostname","r02n09"
; "Time_ContextCreate [ms]", 0.000307
; "Time_ContextDestroy [ms]", 0.000149
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000344,4.291187,4.272406,0.000404,0.095487,0.045551,0.001293,0.016804,8.724242,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000309,4.303024,4.284258,0.000381,0.148382,0.044659,0.001351,0.018144,8.801298,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000312,4.317617,4.288161,0.000354,0.117286,0.057857,0.001067,0.017388,8.800844,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000311,3.903262,3.297498,0.000297,0.172829,0.047446,0.001267,0.015349,7.438991,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.00034,3.847196,3.307874,0.000301,0.160154,0.043034,0.001233,0.01655,7.377431,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.000315,3.903282,3.225863,0.000293,0.147098,0.057338,0.001018,0.016408,7.352394,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000313,3.915836,3.248464,0.000286,0.127948,0.042998,0.001236,0.016245,7.354061,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000316,3.836732,3.26512,0.000307,0.139421,0.048117,0.000886,0.016429,7.308105,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000337,3.920338,3.261871,0.000292,0.135461,0.049495,0.000986,0.017512,7.387058,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000346,3.86935,3.208095,0.000281,0.13261,0.050009,0.001348,0.016827,7.279618,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000313,3.868313,3.250489,0.0003,0.185782,0.0448,0.00129,0.016848,7.368869,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000356,3.875322,3.22237,0.000271,0.143797,0.046217,0.001231,0.017337,7.307633,2888,0,2888
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.002511,20.415871,19.960999,0.029634,0.381105,0.19625,0.01557,0.132907,41.135646,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000506,21.240178,20.252473,0.007004,0.32018,0.234314,0.013484,0.136347,42.205377,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000258,20.330462,19.434852,0.006102,0.279894,0.243491,0.013543,0.141714,40.451256,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.0003,20.431259,19.5959,0.007466,0.247739,0.237742,0.013109,0.140406,40.674886,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.000473,20.326831,19.446345,0.006355,0.312351,0.223845,0.014752,0.153143,40.485204,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,5,69,"Success",0.000311,20.455814,19.633721,0.006891,0.270021,0.245344,0.011529,0.14261,40.767297,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,6,69,"Success",0.000291,20.410422,19.629038,0.00556,0.273292,0.239058,0.013457,0.145198,40.717157,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,7,69,"Success",0.000356,20.312512,19.431602,0.006834,0.298969,0.218244,0.017581,0.144881,40.431743,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,8,69,"Success",0.000287,20.500162,19.68691,0.00724,0.283729,0.244104,0.013659,0.137858,40.874885,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,9,69,"Success",0.000317,20.668388,19.479759,0.007213,0.32001,0.217062,0.015961,0.139579,40.849096,54872,0,54872
"Fftw","Inplace","Complex","float",2,"oddshape",19,361,0,10,69,"Success",0.000333,20.472844,19.633422,0.006879,0.294601,0.224562,0.014499,0.144092,40.792052,54872,0,54872
