; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496259892,"CurrentTimeLocal","Wed May 31 21:44:52 2017","Hostname","r02n13"
; "Time_ContextCreate [ms]", 0.00035
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000379,228.726343,230.528532,0.010629,0.112301,0.100133,0.008918,0.174879,459.662889,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000389,228.2613,226.45645,0.01006,0.100199,0.107292,0.008312,0.167274,455.112545,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000355,230.773612,227.225231,0.009877,0.122065,0.109171,0.008231,0.174029,458.423406,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000314,231.425869,227.855233,0.010044,0.098858,0.107605,0.008259,0.2087,459.715677,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000317,231.071636,228.948973,0.009964,0.119936,0.105965,0.009204,0.175972,460.442759,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000321,260.25282,227.155967,0.010891,5.941467,0.096235,0.007538,0.171188,493.63715,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000505,259.822323,254.318828,0.162473,0.562141,0.432404,0.170003,0.307911,515.777285,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000356,259.861218,261.050711,0.13578,0.730853,0.623125,0.174441,0.309485,522.887418,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000426,259.909919,258.317374,0.155452,0.531565,0.466396,0.17044,0.344166,519.896358,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000353,258.352853,257.463696,0.13304,0.589026,0.468889,0.170255,0.327499,517.506173,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000361,260.86557,257.376933,0.146513,0.566822,0.426473,0.188263,0.325236,519.896777,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.00047,257.185624,254.29982,0.134242,0.606565,0.423604,0.17348,0.318765,513.143856,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000375,253.180688,253.750496,0.157844,0.57306,0.413413,0.18133,0.31213,508.570593,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000462,258.900673,264.258052,0.134758,0.58059,0.439077,0.183158,0.313757,524.811192,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000373,253.951338,255.062641,0.130695,0.57064,0.424202,0.171206,0.310952,510.622781,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000445,259.207695,253.81962,0.135961,0.642875,0.444871,0.179223,0.320334,514.75171,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000352,255.573841,255.785468,0.133018,0.53623,0.440705,0.172423,0.32468,512.967434,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000393,255.074752,256.900617,0.134444,0.583148,0.422334,0.183754,0.326615,513.626666,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.000422,3686.883781,3542.535466,2.430576,8.423751,8.025806,2.751671,0.235233,7251.287569,19808792,0,19808792
