; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497002542,"CurrentTimeLocal","Fri Jun  9 12:02:22 2017","Hostname","r02n04"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 7.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000475,0.044058,0.033723,0.000189,0.000436,0.00036,0.000124,0.001315,0.081244,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000455,0.044145,0.033723,0.000158,0.00044,0.00034,0.000127,0.001202,0.081165,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000392,0.047548,0.03963,0.000181,0.000451,0.000309,0.000149,0.001391,0.090637,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000428,0.044196,0.033852,0.000183,0.0004,0.000318,0.00012,0.001216,0.081239,64,0,64
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000469,0.043881,0.034163,0.000142,0.000413,0.000332,0.00014,0.00124,0.081343,64,0,64
