; "Tesla M2090", "CC", 2.0, "Multiprocessors", 16, "Memory [MiB]", 5375, "MemoryFree [MiB]", 5309, "MemClock [MHz]", 1848, "GPUClock [MHz]", 1301, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 12.7945
; "Time_ContextDestroy [ms]", 41.0713
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Inplace,Real,double,3,3,27,25,49,1,5.95514,0.226139,4.98548,0.154304,0.174112,0.15232,0.175744,0.356715,11.549,270000,1.08134e+06
CuFFT,Inplace,Real,double,3,3,27,25,49,2,5.90915,0.220347,5.0454,0.1536,0.17728,0.153536,0.17488,0.364764,11.5597,270000,1.08134e+06
CuFFT,Inplace,Real,double,3,3,27,25,49,3,5.96931,0.219082,5.05424,0.153472,0.178112,0.154688,0.175328,0.357579,11.6202,270000,1.08134e+06
CuFFT,Inplace,Real,double,3,3,27,25,49,4,5.98742,0.227106,5.04516,0.1544,0.17936,0.154112,0.175776,0.358829,11.6387,270000,1.08134e+06
CuFFT,Outplace,Complex,double,1,1,1024,0,0,0,0.161152,0.226608,2.5708,0.021824,0.033184,0.023808,0.026592,0.203749,3.18103,32768,16384
CuFFT,Outplace,Complex,double,1,1,1024,0,0,1,0.16144,0.225187,2.58145,0.021952,0.033408,0.023648,0.026496,0.19837,3.1853,32768,16384
CuFFT,Outplace,Complex,double,1,1,1024,0,0,2,0.1624,0.224531,2.57377,0.021952,0.033472,0.024288,0.026304,0.197554,3.17714,32768,16384
CuFFT,Outplace,Complex,double,1,1,1024,0,0,3,0.161792,0.235229,2.5715,0.0216,0.033184,0.024128,0.026688,0.202461,3.18982,32768,16384
CuFFT,Outplace,Complex,double,1,1,1024,0,0,4,0.162592,0.225625,2.52682,0.02208,0.033216,0.023936,0.026752,0.198585,3.13261,32768,16384
CuFFT,Outplace,Complex,double,3,2,32,32,32,0,0.651104,0.225553,2.85569,0.239808,0.062688,0.052576,0.238624,0.362844,4.11542,1.04858e+06,524288
