; "Tesla M2090", "CC", 2.0, "Multiprocessors", 16, "Memory [MiB]", 5375, "MemoryFree [MiB]", 5309, "MemClock [MHz]", 1848, "GPUClock [MHz]", 1301, "CUDA Runtime", 7050
; "Time_ContextCreate [ms]", 12.907
; "Time_ContextDestroy [ms]", 41.0741
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
CuFFT,Inplace,Real,float,3,3,27,25,49,1,5.80563,0.218539,5.05384,0.1208,0.144608,0.132448,0.173344,0.358029,11.4554,135000,540672
CuFFT,Inplace,Real,float,3,3,27,25,49,2,5.86954,0.224207,5.04689,0.120608,0.145952,0.127776,0.17184,0.365874,11.5261,135000,540672
CuFFT,Inplace,Real,float,3,3,27,25,49,3,5.86624,0.219142,5.05366,0.120352,0.14768,0.127616,0.171616,0.358631,11.5172,135000,540672
CuFFT,Inplace,Real,float,3,3,27,25,49,4,5.88554,0.225674,5.0494,0.122144,0.14816,0.127424,0.183936,0.357588,11.5378,135000,540672
CuFFT,Outplace,Complex,float,1,1,1024,0,0,0,0.15488,0.231953,2.46891,0.01792,0.034016,0.024288,0.0232,0.207373,3.08201,16384,8192
CuFFT,Outplace,Complex,float,1,1,1024,0,0,1,0.1544,0.235141,2.46845,0.017696,0.034048,0.024224,0.023168,0.198208,3.0752,16384,8192
CuFFT,Outplace,Complex,float,1,1,1024,0,0,2,0.15456,0.22572,2.4727,0.018048,0.03392,0.024032,0.023296,0.198078,3.06903,16384,8192
CuFFT,Outplace,Complex,float,1,1,1024,0,0,3,0.154016,0.225944,2.47643,0.017888,0.03376,0.024128,0.023168,0.19927,3.07475,16384,8192
CuFFT,Outplace,Complex,float,1,1,1024,0,0,4,0.153856,0.226359,2.47618,0.018176,0.03328,0.024,0.023008,0.197906,3.07326,16384,8192
CuFFT,Outplace,Complex,float,3,2,32,32,32,0,0.423104,0.23397,2.52435,0.131008,0.057152,0.043424,0.135168,0.201671,3.40238,524288,262144
CuFFT,Outplace,Complex,float,3,2,32,32,32,1,0.418176,0.227907,2.53025,0.132256,0.05728,0.043616,0.128512,0.202495,3.39785,524288,262144
CuFFT,Outplace,Complex,float,3,2,32,32,32,2,0.416192,0.228301,2.51905,0.130912,0.057248,0.043712,0.127808,0.211842,3.39464,524288,262144
CuFFT,Outplace,Complex,float,3,2,32,32,32,3,0.418272,0.227339,2.51795,0.130848,0.057664,0.043904,0.128576,0.202247,3.3849,524288,262144
