; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11519, "MemoryFree [MiB]", 11430, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 25.5012
; "Time_ContextDestroy [ms]", 150.081
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,1,"Success",122.2,0.221478,1272.4,14.5583,47.6604,47.6603,12.2416,0.908135,1395.73,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,2,"Success",122.154,0.212972,1272.09,14.5415,47.6584,47.642,12.2325,0.904911,1395.36,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,3,"Success",122.207,0.223026,1271.81,14.5976,47.6314,47.6612,12.2373,0.902191,1395.14,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,4,"Success",122.305,0.214457,1271.77,14.5582,47.6251,47.603,12.4414,0.911133,1395.2,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,0,"Success",252.404,0.270988,2545.99,29.0539,99.6306,99.5155,24.1262,1.07173,2799.73,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,1,"Success",252.531,0.276041,2544.39,29.1883,99.5787,99.563,24.1219,1.05432,2798.25,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,2,"Success",252.537,0.27525,2546.97,29.1666,99.6265,99.5506,24.1132,1.05051,2800.83,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,3,"Success",252.523,0.274346,2546.6,29.1559,99.6182,99.5485,24.1207,1.05014,2800.45,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,4,"Success",252.566,0.272055,2637.74,29.2009,99.6033,99.5585,24.1257,1.04712,2891.62,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,0,"Success",529.172,0.385059,5101.6,58.3572,211.445,211.439,47.8489,1.31197,5632.47,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,1,"Success",529.47,0.384653,5107.1,58.5503,211.523,211.489,47.8214,1.30986,5638.27,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,2,"Success",529.367,0.386239,5164.25,58.4334,211.405,211.457,47.9939,1.30943,5695.31,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,3,"Success",529.567,0.385311,5101.35,58.4985,211.478,211.483,48.0305,1.32487,5632.62,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,4,"Success",529.276,0.384463,5099.82,58.3906,211.466,211.446,47.8954,1.31856,5630.8,5.36871e+08,2.14748e+09,5.36871e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:121 cufftGetSize1d(plan, e[0], FFTType, 1, &s)",0,0,0,0,0,0,0,0,0,1.07374e+09,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"oddshape",134217727,0,0,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,0,"Success",1.27199,0.169366,1.03512,0.267968,0.295904,0.28688,0.362816,0.345179,2.82233,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,1,"Success",1.27391,0.160687,1.03434,0.27232,0.294208,0.284704,0.366144,0.345135,2.81475,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,2,"Success",1.26565,0.159977,1.03415,0.267616,0.293632,0.285024,0.362976,0.349829,2.81029,2.09714e+06,2.09714e+06,2.09714e+06
"CuFFT","Inplace","Complex","float",2,"oddshape",511,513,0,3,"Success",1.2677,0.161116,1.03439,0.26752,0.29424,0.286368,0.362688,0.349119,2.81301,2.09714e+06,2.09714e+06,2.09714e+06
