; "ClFFT Informations","Device","Tesla K20Xm","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","14"
; "Time_ContextCreate [ms]", 232.775
; "Time_ContextDestroy [ms]", 35.9859
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,double,3,2,128,128,128,3,23.0586,0.002489,5.0044,11.5302,0.75267,0.091133,10.6835,0.337479,28.4041,3.35544e+07,262144
ClFFT,Inplace,Complex,double,3,2,128,128,128,4,22.9692,0.00252,4.99004,11.5342,0.660885,0.090523,10.6823,0.323772,28.2867,3.35544e+07,262144
ClFFT,Inplace,Complex,double,3,2,128,256,128,0,45.2841,0.002474,4.9023,22.7416,0.426033,0.0914,22.0239,0.338378,50.5284,6.71089e+07,262144
ClFFT,Inplace,Complex,double,3,2,128,256,128,1,45.3858,0.002443,5.18296,22.8334,0.408826,0.090068,22.0522,0.329404,50.9017,6.71089e+07,262144
ClFFT,Inplace,Complex,double,3,2,128,256,128,2,45.3172,0.002213,4.9679,22.7992,0.459492,0.089306,21.9681,0.343738,50.6321,6.71089e+07,262144
ClFFT,Inplace,Complex,double,3,2,128,256,128,3,45.269,0.002294,5.11193,22.768,0.408002,0.092803,21.999,0.331159,50.7156,6.71089e+07,262144
ClFFT,Inplace,Complex,double,3,2,128,256,128,4,45.3858,0.002532,5.08803,22.8664,0.427395,0.094314,21.9965,0.3307,50.8082,6.71089e+07,262144
ClFFT,Inplace,Complex,double,3,2,256,256,256,0,180.221,0.00221,4.77222,89.3319,0.789194,0.15274,89.9458,0.404142,185.4,2.68435e+08,1.04858e+06
ClFFT,Inplace,Complex,double,3,2,256,256,256,1,180.379,0.002763,4.58209,89.4392,0.738671,0.15187,90.0483,0.39294,185.358,2.68435e+08,1.04858e+06
ClFFT,Inplace,Complex,double,3,2,256,256,256,2,180.341,0.002242,4.64825,89.4378,0.794713,0.149597,89.9582,0.409544,185.402,2.68435e+08,1.04858e+06
ClFFT,Inplace,Complex,double,3,2,256,256,256,3,180.443,0.002457,4.64615,89.7238,0.522106,0.150291,90.0454,0.383039,185.475,2.68435e+08,1.04858e+06
ClFFT,Inplace,Complex,double,3,2,256,256,256,4,180.283,0.002416,4.5655,89.3149,0.732028,0.149109,90.0856,0.389418,185.241,2.68435e+08,1.04858e+06
ClFFT,Inplace,Complex,double,3,2,512,512,512,0,1438.3,0.002229,6.84742,712.518,1.00531,0.626307,724.152,0.741777,1445.89,2.14748e+09,4.1943e+06
ClFFT,Inplace,Complex,double,3,2,512,512,512,1,1438.96,0.002269,6.7071,712.759,1.21706,0.626163,724.353,0.750016,1446.42,2.14748e+09,4.1943e+06
ClFFT,Inplace,Complex,double,3,2,512,512,512,2,1438.85,0.002187,6.66347,712.859,1.20345,0.622506,724.161,0.740449,1446.25,2.14748e+09,4.1943e+06
ClFFT,Inplace,Complex,double,3,2,512,512,512,3,1438.19,0.002332,6.93903,712.482,1.20662,0.641314,723.854,0.743419,1445.87,2.14748e+09,4.1943e+06
ClFFT,Inplace,Complex,double,3,2,512,512,512,4,1438.23,0.002276,6.74605,712.368,1.22703,0.615077,724.02,0.739883,1445.72,2.14748e+09,4.1943e+06
ClFFT,Inplace,Complex,double,2,3,625,343,0,0,3.99567,0.002228,6.458,1.36218,0.926555,0.518062,1.18766,0.297323,10.7542,3.43e+06,3.43e+06
