; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497015723,"CurrentTimeLocal","Fri Jun  9 15:42:03 2017","Hostname","c02n12"
; "Time_ContextCreate [ms]", 0.000146
; "Time_ContextDestroy [ms]", 7.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000582,0.012917,0.006031,0.000639,0.014465,0.006686,0.000332,0.003492,0.045605,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000462,0.006896,0.003837,0.00029,0.00613,0.004864,0.00034,0.003123,0.026298,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000479,0.00634,0.003872,0.000294,0.005884,0.004971,0.000328,0.003112,0.025621,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000464,0.006285,0.003859,0.000295,0.006467,0.004756,0.000331,0.003062,0.025838,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000455,0.006208,0.003815,0.000299,0.006,0.0049,0.000337,0.003105,0.025447,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.00047,0.006189,0.003824,0.000304,0.005927,0.004915,0.000331,0.003065,0.025328,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000457,0.006276,0.003791,0.000294,0.006019,0.004929,0.000345,0.003104,0.025572,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.00047,0.006231,0.003861,0.000301,0.005903,0.005117,0.000323,0.003056,0.025576,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000459,0.006235,0.003801,0.000295,0.005866,0.004879,0.000329,0.003075,0.025245,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000491,0.006593,0.003814,0.000315,0.006323,0.004943,0.000341,0.003239,0.026355,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000459,0.006403,0.003842,0.000317,0.006008,0.005068,0.000336,0.003118,0.025861,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000464,0.006237,0.003835,0.000306,0.006015,0.005014,0.000323,0.00311,0.025612,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000645,0.017884,0.014364,0.007767,0.104792,0.097697,0.005748,0.005799,0.255123,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000615,0.017307,0.012612,0.007273,0.030228,0.028781,0.006482,0.006047,0.109718,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000542,0.015261,0.012437,0.007024,0.035644,0.030019,0.006734,0.006089,0.114094,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.000531,0.015192,0.012,0.00693,0.030491,0.028589,0.006544,0.00595,0.106557,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.000566,0.014655,0.012411,0.006859,0.030474,0.028537,0.006514,0.006309,0.10665,54872,0,54872
