; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014160,"CurrentTimeLocal","Fri Jun  9 15:16:00 2017","Hostname","c02n15"
; "Time_ContextCreate [ms]", 0.000206
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.001883,0.063796,0.042069,1.788602,5.308584,5.11137,2.367038,0.013939,14.697858,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.001651,0.063281,0.042905,1.804455,5.332334,5.112149,2.371349,0.013807,14.742574,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.00164,0.062947,0.040307,1.809907,5.35671,5.135239,2.361404,0.014469,14.783276,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.001725,0.061806,0.041895,1.802203,5.360176,5.131299,2.371448,0.013229,14.784331,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.002089,0.06255,0.042686,1.811472,5.303029,5.120071,2.346278,0.014933,14.703822,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.001873,0.062479,0.041514,1.799601,5.36836,5.131801,2.360709,0.014066,14.780932,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.001622,0.063393,0.040901,1.805523,5.306826,5.105216,2.362749,0.014902,14.701871,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.00192,0.062977,0.040795,1.812774,5.318328,5.127413,2.36141,0.014137,14.740427,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.001757,0.062747,0.042214,1.804952,5.33171,5.116441,2.35515,0.013798,14.729498,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.006418,0.089633,0.059313,217.120311,112.568546,112.808323,45.835679,32.687279,521.177329,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.007252,0.088134,0.060062,217.212255,111.830072,112.50309,45.843184,32.698681,520.244586,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.006842,0.085433,0.059694,217.224167,112.045477,112.779936,45.779917,32.682905,520.666397,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.00662,0.084576,0.058507,217.140615,111.794176,112.51273,45.808413,32.671978,520.079646,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.006722,0.084238,0.058902,217.19739,112.016315,112.432866,45.810156,32.644596,520.253309,376367048,0,376367048
