; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007532,"CurrentTimeLocal","Fri Jun  9 13:25:32 2017","Hostname","r02n01"
; "Time_ContextCreate [ms]", 0.000397
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000363,0.039803,0.036981,0.005323,0.126905,0.12631,0.003799,0.005558,0.345451,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000371,0.039407,0.036636,0.005244,0.126173,0.126254,0.003827,0.006446,0.344759,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000343,0.039382,0.037097,0.005295,0.126734,0.126787,0.003772,0.005715,0.345552,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000382,0.039337,0.037325,0.005287,0.125987,0.126532,0.003763,0.005484,0.344501,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000356,0.038845,0.036767,0.005326,0.129559,0.127659,0.003917,0.005887,0.34872,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000363,0.039051,0.037017,0.005296,0.126615,0.126874,0.003838,0.005812,0.345262,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000379,0.038985,0.03668,0.0052,0.126408,0.132046,0.003791,0.005219,0.349119,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000368,0.039324,0.036955,0.005309,0.126665,0.126525,0.003915,0.005426,0.344882,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000331,0.038842,0.036182,0.00527,0.127359,0.127577,0.003792,0.005486,0.345244,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000447,0.054503,0.046239,0.102013,0.667809,0.523794,0.152981,0.005029,1.553246,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.00044,0.068305,0.062768,0.143614,0.476317,0.4613,0.156165,0.005313,1.374686,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000421,0.06468,0.060726,0.142845,0.482326,0.460621,0.155657,0.004688,1.372373,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000372,0.063338,0.060405,0.142758,0.507483,0.461298,0.15332,0.005095,1.394468,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000391,0.062755,0.05971,0.149783,0.48457,0.464169,0.153562,0.004791,1.38014,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000388,0.061997,0.060138,0.14681,0.47355,0.463044,0.152993,0.00436,1.363707,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000388,0.061401,0.059083,0.143745,0.483617,0.46628,0.1579,0.005127,1.377951,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000391,0.062277,0.058653,0.142641,0.482635,0.461298,0.15512,0.004496,1.367908,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000384,0.061564,0.059339,0.141972,0.478851,0.465419,0.153275,0.005256,1.366459,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000394,0.065582,0.059927,0.143053,0.48072,0.476153,0.154157,0.0049,1.385286,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000381,0.061427,0.059698,0.147378,0.479274,0.460392,0.157384,0.005059,1.371397,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000384,0.061574,0.059436,0.142005,0.483219,0.461213,0.154544,0.005281,1.368062,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.001498,0.601431,0.617246,1.507712,9.729555,9.440493,2.402058,0.017059,24.317796,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.001682,0.785295,0.736895,2.196148,8.820577,8.687987,2.423055,0.01651,23.669018,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.001446,0.771737,0.752666,2.21931,8.111474,7.647934,2.473601,0.016614,21.995638,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.001418,0.787433,0.749305,2.198307,7.269003,7.197874,2.412993,0.016092,20.633217,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.001727,0.774286,0.747197,2.178613,6.945684,6.652492,2.47578,0.015909,19.792487,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.0013,0.75454,0.735944,2.192281,6.457243,6.192746,2.524106,0.015817,18.87506,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.001495,0.768527,0.754896,2.166825,6.069249,5.981294,2.38762,0.015949,18.146976,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.001323,0.780089,0.732148,2.191153,5.939379,5.795838,2.412619,0.016102,17.869732,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.001097,0.766962,0.731996,2.166739,5.863527,5.753846,2.393897,0.015439,17.694563,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.001269,0.767667,0.72984,2.191063,5.826253,5.627637,2.423921,0.015418,17.58407,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.001164,0.770125,0.728159,2.170608,5.801307,5.624244,2.350542,0.015067,17.462585,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.00145,0.761381,0.73831,2.173126,5.790387,5.604544,2.345235,0.015464,17.430914,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.00072,0.004057,0.001824,0.000236,0.000176,0.00022,9.6e-05,0.002097,0.01016,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.00077,0.004033,0.001854,0.000233,0.000176,0.000256,9.3e-05,0.002164,0.010323,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.00071,0.004013,0.001844,0.000236,0.00018,0.000243,9.6e-05,0.002203,0.010263,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000763,0.003963,0.001867,0.000243,0.000177,0.000234,9.3e-05,0.002134,0.010206,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000717,0.00389,0.00185,0.00024,0.00018,0.000217,9.3e-05,0.002123,0.010043,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000997,0.0056,0.001783,0.000353,0.000347,0.000263,0.000177,0.002117,0.012397,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.00057,0.00394,0.001913,0.00024,0.00018,0.000224,9.6e-05,0.002104,0.009987,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000757,0.0039,0.001896,0.000247,0.00018,0.000237,9.6e-05,0.002124,0.010157,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000713,0.003966,0.001784,0.00023,0.000176,0.00022,9.3e-05,0.002103,0.010023,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.00077,0.004017,0.001863,0.000237,0.00018,0.00023,9.3e-05,0.002093,0.01022,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000717,0.003883,0.001793,0.000244,0.000187,0.00022,9.7e-05,0.002143,0.010013,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000763,0.004144,0.001813,0.00024,0.000176,0.000233,9.7e-05,0.002147,0.010353,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.00112,0.007014,0.002087,0.000323,0.000903,0.000553,0.000357,0.005277,0.01876,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.00091,0.004614,0.001846,0.00026,0.000306,0.00029,0.00013,0.002256,0.011396,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000803,0.00397,0.00184,0.000254,0.000253,0.00025,0.000144,0.002127,0.010354,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.00071,0.003924,0.00189,0.00026,0.000263,0.000227,0.000123,0.00217,0.01028,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000707,0.00393,0.001943,0.000254,0.00026,0.000243,0.000123,0.002156,0.01033,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000773,0.004007,0.00182,0.00025,0.000253,0.000233,0.00012,0.00219,0.010403,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000773,0.003944,0.001846,0.00025,0.000253,0.00025,0.000134,0.00217,0.010347,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000774,0.004006,0.001854,0.000246,0.000254,0.000233,0.000134,0.00221,0.010437,64,0,64
