; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014033,"CurrentTimeLocal","Fri Jun  9 15:13:53 2017","Hostname","c02n10"
; "Time_ContextCreate [ms]", 0.000159
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.001919,0.0676,0.046952,1.77065,5.329536,5.090232,2.527321,0.013836,14.848669,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.001871,0.068358,0.041247,1.773391,5.318063,5.054861,2.541584,0.013525,14.813581,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.00181,0.067076,0.042147,1.773499,5.324087,5.062133,2.540814,0.013242,14.825524,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.002022,0.066676,0.042741,1.783193,5.334898,5.060369,2.538823,0.012679,14.842151,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.001962,0.066967,0.042819,1.781011,5.319981,5.056028,2.55214,0.013102,14.83466,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.002311,0.064628,0.041881,1.784898,5.329191,5.06786,2.548288,0.013625,14.853318,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.001864,0.068029,0.042549,1.782334,5.329321,5.085325,2.544266,0.013386,14.867748,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.001922,0.067546,0.042425,1.780344,5.320993,5.065,2.542477,0.012919,14.834265,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.001798,0.067409,0.042506,1.780852,5.3319,5.058085,2.541393,0.013135,14.837763,19808792,0,19808792
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.006299,0.089071,0.058034,207.336717,112.456338,112.375637,46.795947,23.566365,502.68628,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.006579,0.086533,0.057502,207.038265,112.156278,116.70872,46.777053,23.583339,506.415885,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.006749,0.086805,0.058869,207.587134,112.758519,112.422861,46.748439,23.573001,503.244106,376367048,0,376367048
"Fftw_mklwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.007021,0.087724,0.057601,206.93917,113.008719,112.643413,46.814941,23.571268,503.1315,376367048,0,376367048
