; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007535,"CurrentTimeLocal","Fri Jun  9 13:25:35 2017","Hostname","r02n08"
; "Time_ContextCreate [ms]", 0.000327
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000437,0.039378,0.035867,0.005306,0.129245,0.128552,0.003697,0.005776,0.348677,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000439,0.038608,0.035459,0.005325,0.12896,0.128378,0.003804,0.005834,0.347218,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.00042,0.038885,0.035579,0.005384,0.127974,0.129178,0.003711,0.005424,0.346949,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000383,0.038565,0.035471,0.005321,0.128806,0.129102,0.003719,0.00561,0.347381,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000381,0.038738,0.039097,0.005303,0.128933,0.128835,0.003676,0.005747,0.351089,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000357,0.038962,0.035408,0.005343,0.129117,0.128491,0.003678,0.00539,0.347133,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000385,0.038912,0.035507,0.005356,0.133152,0.129608,0.003704,0.005288,0.352276,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000376,0.03859,0.035554,0.005296,0.129124,0.128904,0.003723,0.005936,0.34787,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000407,0.069293,0.045744,0.099899,0.617344,0.521845,0.15283,0.005392,1.513227,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000553,0.065726,0.060119,0.139517,0.480743,0.464853,0.157398,0.005104,1.374504,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000423,0.063206,0.058964,0.141213,0.479308,0.465558,0.153209,0.004482,1.36679,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000397,0.062381,0.057697,0.139847,0.485559,0.467853,0.152482,0.004793,1.371421,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000421,0.061838,0.058081,0.142979,0.478516,0.469539,0.15382,0.005012,1.370612,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.00038,0.0608,0.057166,0.140548,0.480402,0.464795,0.153662,0.005091,1.363246,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.00045,0.060719,0.057898,0.14011,0.48455,0.468618,0.15469,0.004522,1.371953,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000423,0.063281,0.057261,0.14017,0.476977,0.46854,0.153244,0.004368,1.364663,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000395,0.060932,0.057157,0.139966,0.480719,0.466224,0.156532,0.004607,1.366927,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.00038,0.061112,0.05686,0.139598,0.488403,0.464139,0.154828,0.004248,1.369945,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000416,0.061515,0.057022,0.140983,0.484507,0.468483,0.153841,0.004658,1.371844,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000406,0.061521,0.057041,0.142711,0.47805,0.463932,0.155859,0.004356,1.364285,1042568,0,1042568
