; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497018323,"CurrentTimeLocal","Fri Jun  9 16:25:23 2017","Hostname","r02n01"
; "Time_ContextCreate [ms]", 0.00031
; "Time_ContextDestroy [ms]", 4.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.0004,0.017647,0.008274,0.000582,0.036406,0.015019,0.001226,0.008248,0.088226,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.000382,0.007425,0.004847,0.000481,0.015374,0.013393,0.001115,0.008847,0.05224,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000352,0.006764,0.004445,0.00048,0.013723,0.014055,0.001146,0.007204,0.048526,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000345,0.00699,0.004419,0.000481,0.01492,0.015528,0.001162,0.007723,0.051922,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000513,0.007671,0.004639,0.000546,0.014211,0.013246,0.001102,0.01033,0.052587,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.00036,0.007534,0.004644,0.000441,0.01356,0.01388,0.001072,0.008644,0.050476,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000345,0.007145,0.004109,0.000463,0.014,0.013398,0.0011,0.007938,0.048821,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000339,0.006986,0.004143,0.000455,0.013891,0.012666,0.001141,0.008651,0.048597,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000333,0.007188,0.004128,0.000461,0.014212,0.012648,0.001231,0.007645,0.048165,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000358,0.007091,0.004151,0.00028,0.014587,0.012654,0.001147,0.007756,0.048344,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000323,0.007261,0.00393,0.000458,0.014281,0.01385,0.001098,0.007855,0.04939,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000344,0.00694,0.003918,0.000456,0.015713,0.012909,0.001089,0.006749,0.048448,2888,0,2888
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000565,0.021184,0.016115,0.010062,0.32748,0.303443,0.009816,0.007639,0.696729,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000462,0.019424,0.013883,0.007769,0.038984,0.039757,0.008377,0.008486,0.137529,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000341,0.016691,0.013578,0.005389,0.04218,0.042661,0.008109,0.0087,0.138029,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.000328,0.016814,0.013986,0.005294,0.042579,0.042891,0.008628,0.009129,0.140023,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.000332,0.019083,0.013526,0.008356,0.038112,0.039378,0.008081,0.008255,0.135453,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,5,69,"Success",0.000355,0.016854,0.013327,0.005328,0.039951,0.038473,0.007759,0.009187,0.131553,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,6,69,"Success",0.000362,0.018112,0.013047,0.005008,0.039953,0.036972,0.00844,0.008597,0.130849,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,7,69,"Success",0.000355,0.017931,0.013645,0.005224,0.040187,0.036689,0.009121,0.009902,0.133382,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,8,69,"Success",0.000357,0.017169,0.012937,0.005373,0.048446,0.038747,0.008394,0.009244,0.141019,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,9,69,"Success",0.000344,0.017015,0.013932,0.008872,0.039152,0.036988,0.008244,0.008956,0.133838,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,10,69,"Success",0.000356,0.017824,0.013995,0.00489,0.038719,0.043524,0.00811,0.00914,0.136899,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,11,69,"Success",0.000352,0.017293,0.013804,0.005219,0.043117,0.037706,0.008381,0.008828,0.135034,54872,0,54872
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",361,361,0,0,70,"Warmup",0.000796,0.028,0.024037,0.162894,0.591088,0.381311,0.214824,0.010174,1.413586,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",361,361,0,1,70,"Warmup",0.00052,0.02577,0.023744,0.1321,0.353892,0.359814,0.213454,0.009814,1.119549,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",361,361,0,2,70,"Success",0.000536,0.025808,0.023551,0.133223,0.35888,0.355329,0.216685,0.010572,1.125003,1042568,0,1042568
"Fftw_mklwrapper","Inplace","Complex","float",2,"oddshape",361,361,0,3,70,"Success",0.000471,0.025113,0.023119,0.132755,0.35748,0.362313,0.228032,0.009981,1.139699,1042568,0,1042568
