; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5759, "MemoryFree [MiB]", 5674, "MemClock [MHz]", 2600, "GPUClock [MHz]", 784, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 12.7537
; "Time_ContextDestroy [ms]", 145.371
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,1,"Success",183.526,0.32137,2431.28,50.962,41.1346,41.1178,49.8824,0.936922,2616.07,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,2,"Success",183.63,0.306414,2432.08,51.0477,41.1492,41.2272,49.8844,0.908258,2616.93,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,3,"Success",179.541,0.29995,2425.82,48.795,41.1537,41.292,47.9869,0.93442,2606.6,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",16777213,0,0,4,"Success",179.724,0.313266,2433.37,49.2145,41.1563,41.1694,47.7529,0.93649,2614.34,1.34218e+08,5.36871e+08,1.34218e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,0,"Success",371.584,0.413029,4865.55,102.458,86.1965,86.1521,96.4385,1.12784,5238.68,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,1,"Success",368.198,0.431664,4863.65,98.9614,86.1881,86.191,96.526,1.15558,5233.44,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,2,"Success",366.714,0.44609,4865.97,97.6783,86.2412,86.1936,96.4794,1.14935,5234.28,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,3,"Success",366.912,0.406026,4855.23,97.7649,86.1635,86.1893,96.4629,1.13458,5223.68,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",33554431,0,0,4,"Success",374.837,0.465643,4873.91,101.983,86.1532,86.1794,100.199,1.12877,5250.34,2.68435e+08,1.07374e+09,2.68435e+08
"CuFFT","Inplace","Complex","float",1,"oddshape",67108863,0,0,0,"Success",741.182,0.69667,9709.03,195.107,175.769,175.795,194.385,1.54695,10452.5,5.36871e+08,2.14748e+09,5.36871e+08
