; "ClFFT Informations","Device","Tesla K20Xm","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","14"
; "Time_ContextCreate [ms]", 971.768
; "Time_ContextDestroy [ms]", 28.1309
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,float,3,2,128,128,128,2,11.5184,0.002453,4.63158,5.806,0.398754,0.074193,5.2382,0.227407,16.3811,1.67772e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,128,128,3,11.4125,0.002301,4.56332,5.78898,0.30623,0.074116,5.24197,0.229747,16.2091,1.67772e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,128,128,4,11.4975,0.002114,4.6377,5.77007,0.409579,0.072507,5.24413,0.243197,16.382,1.67772e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,256,128,0,22.4799,0.002682,5.06344,11.5924,0.381135,0.072558,10.4323,0.299283,27.8464,3.35544e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,256,128,1,22.5671,0.002668,5.09671,11.6795,0.382492,0.071933,10.4318,0.297071,27.9648,3.35544e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,256,128,2,22.625,0.002543,5.11962,11.6272,0.397337,0.072394,10.5269,0.285483,28.0337,3.35544e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,256,128,3,22.4841,0.002557,5.00284,11.5963,0.410088,0.072003,10.4044,0.3184,27.809,3.35544e+07,131072
ClFFT,Inplace,Complex,float,3,2,128,256,128,4,23.0516,0.002347,5.20171,12.2575,0.176044,0.071772,10.545,0.273856,28.5308,3.35544e+07,131072
ClFFT,Inplace,Complex,float,3,2,256,256,256,0,91.2634,0.002535,4.83938,45.4611,0.683961,0.103611,45.0134,0.360845,96.4673,1.34218e+08,524288
ClFFT,Inplace,Complex,float,3,2,256,256,256,1,90.6144,0.002263,4.65349,45.2375,0.685311,0.105215,44.5852,0.383731,95.6552,1.34218e+08,524288
ClFFT,Inplace,Complex,float,3,2,256,256,256,2,90.7173,0.002469,4.58817,45.2396,0.696657,0.10468,44.6752,0.374332,95.6835,1.34218e+08,524288
ClFFT,Inplace,Complex,float,3,2,256,256,256,3,90.6542,0.002322,4.71358,45.1352,0.763373,0.102876,44.6515,0.379324,95.7506,1.34218e+08,524288
ClFFT,Inplace,Complex,float,3,2,256,256,256,4,90.4793,0.002398,4.85346,45.1016,0.676589,0.106596,44.5932,0.384459,95.7209,1.34218e+08,524288
ClFFT,Inplace,Complex,float,3,2,512,512,512,0,722.346,0.002552,6.94362,357.692,0.934521,0.228867,363.489,0.557539,729.851,1.07374e+09,2.09715e+06
ClFFT,Inplace,Complex,float,3,2,512,512,512,1,720.616,0.002463,6.75153,357.793,0.808489,0.228742,361.785,0.54781,727.92,1.07374e+09,2.09715e+06
ClFFT,Inplace,Complex,float,3,2,512,512,512,2,720.611,0.002581,6.8447,357.848,0.869754,0.228167,361.664,0.559435,728.019,1.07374e+09,2.09715e+06
ClFFT,Inplace,Complex,float,3,2,512,512,512,3,720.813,0.006714,6.7511,357.893,0.826262,0.233156,361.86,0.559869,728.132,1.07374e+09,2.09715e+06
ClFFT,Inplace,Complex,float,3,2,512,512,512,4,720.438,0.002438,6.86656,357.573,0.811786,0.232504,361.819,0.538628,727.846,1.07374e+09,2.09715e+06
